gene,logFC,P.Value,adj.P.Val,logFC_depth,P_depth,q_depth,hit_baseline,hit_depth,reportable,tier,hierarchy_bin
KLF11,0.643349819821608,0.0801717590714228,0.609671945995299,0.534725898156886,0.186149987123361,0.879125523913381,FALSE,FALSE,FALSE,secondary,HSC_MPP
ECI1,-0.617311018722492,0.0789557210269817,0.609671945995299,-0.417774099383604,0.24627914304758,0.896782789555678,FALSE,FALSE,FALSE,secondary,HSC_MPP
MRPL12,-0.614467185042015,0.0784107854548092,0.609671945995299,-0.330926043450923,0.304969371485133,0.896782789555678,FALSE,FALSE,FALSE,secondary,HSC_MPP
ZSCAN30,-0.60973843856515,0.0799491614451395,0.609671945995299,-0.599044322760839,0.130404048420601,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
CLK3,0.587735672168451,0.0801319544165704,0.609671945995299,0.711707383285752,0.0752984980545209,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
AGL,-0.586932945377023,0.0784944013718153,0.609671945995299,-0.62225206806719,0.101264261783224,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
FNIP1,0.562096415755428,0.0791562510688726,0.609671945995299,0.602272605091916,0.112123004621577,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
PRKAB1,0.559032869027399,0.07992523038517,0.609671945995299,0.521153472759791,0.159754732162571,0.861429028527448,FALSE,FALSE,FALSE,secondary,HSC_MPP
BAG6,0.521987589065728,0.0796331720085072,0.609671945995299,0.682163077418432,0.0509400034449325,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
NDUFB6,-0.517254033144171,0.0791180430321393,0.609671945995299,-0.626107817200702,0.0548322607073875,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
XPC,0.504156975465773,0.0786501532199417,0.609671945995299,0.616879658414279,0.0721314370399253,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
ABRACL,-0.503724550835327,0.0795297510946944,0.609671945995299,-0.541471631889432,0.0928717678592488,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
DDX50,-0.50281512360914,0.0796940662224878,0.609671945995299,-0.621168474480643,0.052992085579136,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
UBE2D3,0.461788355868813,0.0800942096759569,0.609671945995299,0.490024004795481,0.107831029189492,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
RSF1,0.419518086659892,0.0795467387450617,0.609671945995299,0.496158739842823,0.0800838140573073,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
ACER3,-1.07285475889507,0.0804221715980672,0.610101542054955,-1.07229300090567,0.115037815468514,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
SLC2A4RG,-0.762570431516573,0.0803101530227233,0.610101542054955,-0.73337009057796,0.132015050168493,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
SNRK,0.629073366216739,0.0804320483011988,0.610101542054955,0.603778450912694,0.146390948596717,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
