arm,alpha,kind,k,delta,n,frac_targets_moved,intercept,p_two_sided,wilcoxon_p,p_registered
rank,0.5,Dx_to_Relapse,6,0.25,11,0.9393939393939394,-0.009222005073383548,0.7980366629969761,0.7646484375,0.7980366629969761
rank,0.5,Dx_to_Treatment,6,0.5,11,0.9696969696969698,-0.0729649967426805,0.062113316118858904,0.3203125,0.031056658059429452
rank,0.5,Dx_to_Relapse,6,0.5,11,0.9696969696969698,-0.008544588322101036,0.8122212823971352,0.7646484375,0.8122212823971352
rank,0.5,Dx_to_Treatment,6,1.0,11,0.9848484848484849,-0.07138897386944049,0.06683902146452878,0.3203125,0.03341951073226439
rank,0.5,Dx_to_Relapse,6,1.0,11,0.9696969696969698,-0.006557287088299662,0.8536287140280977,0.8310546875,0.8536287140280977
rank,0.5,Dx_to_Treatment,6,2.0,11,0.9848484848484849,-0.07335739641135691,0.06327769058186075,0.2783203125,0.031638845290930376
rank,0.5,Dx_to_Relapse,6,2.0,11,0.9696969696969698,-0.00896221427255565,0.7970842082415899,0.7646484375,0.7970842082415899
rank,0.5,Dx_to_Treatment,6,4.0,11,0.9848484848484849,-0.07497307610778303,0.05838391882710878,0.2783203125,0.02919195941355439
rank,0.5,Dx_to_Relapse,6,4.0,11,0.9696969696969698,-0.010477227595157415,0.7643473241542326,0.7001953125,0.7643473241542326
rank,1.0,Dx_to_Treatment,1,0.0,11,0.0,-0.00029315090895735486,0.9728350208922811,0.8310546875,0.48641751044614057
rank,1.0,Dx_to_Relapse,1,0.0,11,0.0,0.006964413418153243,0.3624420640322282,0.6376953125,0.3624420640322282
rank,1.0,Dx_to_Treatment,1,0.25,11,1.0,0.00047195074670381006,0.9560292943293197,0.7001953125,0.5219853528353402
rank,1.0,Dx_to_Relapse,1,0.25,11,1.0,0.007374436242346773,0.33720175453089224,0.6376953125,0.33720175453089224
rank,1.0,Dx_to_Treatment,1,0.5,11,1.0,0.0005678102917247869,0.9472106636844182,0.7001953125,0.5263946681577909
rank,1.0,Dx_to_Relapse,1,0.5,11,1.0,0.007511175493280124,0.33149308974539965,0.6376953125,0.33149308974539965
rank,1.0,Dx_to_Treatment,1,1.0,11,1.0,0.0007326112461901672,0.9320514777933891,0.8310546875,0.5339742611033054
rank,1.0,Dx_to_Relapse,1,1.0,11,1.0,0.007794906048333435,0.3174255193957813,0.5771484375,0.3174255193957813
rank,1.0,Dx_to_Treatment,1,2.0,11,1.0,-0.0006373630145795691,0.9400742192952531,0.8984375,0.47003710964762657
rank,1.0,Dx_to_Relapse,1,2.0,11,1.0,0.0067163283765856235,0.39631359334864025,0.5771484375,0.39631359334864025
rank,1.0,Dx_to_Treatment,1,4.0,11,1.0,-0.0011219559639173394,0.8931006860008818,0.8984375,0.4465503430004409
rank,1.0,Dx_to_Relapse,1,4.0,11,1.0,0.005958277232610982,0.451141516350671,0.5771484375,0.451141516350671
rank,1.0,Dx_to_Treatment,3,0.0,11,0.0,-0.00029315090895735486,0.9728350208922811,0.8310546875,0.48641751044614057
rank,1.0,Dx_to_Relapse,3,0.0,11,0.0,0.006964413418153243,0.3624420640322282,0.6376953125,0.3624420640322282
rank,1.0,Dx_to_Treatment,3,0.25,11,1.0,0.0012710111751290628,0.879963951008986,0.6376953125,0.5600180244955071
rank,1.0,Dx_to_Relapse,3,0.25,11,0.9393939393939393,0.007940024706106663,0.3114633428020037,0.51953125,0.3114633428020037
rank,1.0,Dx_to_Treatment,3,0.5,11,1.0,0.0014171870876972146,0.8659358342314133,0.5771484375,0.5670320828842934
rank,1.0,Dx_to_Relapse,3,0.5,11,0.9393939393939393,0.008069306958179263,0.31318085840183996,0.51953125,0.31318085840183996
